time,time_step,population,births,deaths,birth_rate,death_rate,msd,speed_var,food_var,pheromone_var,speed_variance,food_sense_variance,pheromone_sense_variance,reproduction_energy_variance,max_cluster,max_cluster_size,num_clusters,avg_energy,avg_generation,lineage_count
150,150,20,0,0,0.0,0.0,0.117453,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.069806,0.0,20
151,151,20,0,0,0.0,0.0,0.115735,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.064326,0.0,20
152,152,20,0,0,0.0,0.0,0.114189,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.056737,0.0,20
153,153,20,0,0,0.0,0.0,0.112604,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.051254,0.0,20
154,154,20,0,0,0.0,0.0,0.111347,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.043661,0.0,20
155,155,20,0,0,0.0,0.0,0.109875,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.038172,0.0,20
156,156,20,0,0,0.0,0.0,0.10851,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.030577,0.0,20
157,157,20,0,0,0.0,0.0,0.107122,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.025082,0.0,20
158,158,20,0,0,0.0,0.0,0.106069,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.017485,0.0,20
159,159,20,0,0,0.0,0.0,0.104895,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.011985,0.0,20
160,160,20,0,0,0.0,0.0,0.10398,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,99.004384,0.0,20
161,161,20,0,0,0.0,0.0,0.102924,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,98.998878,0.0,20
162,162,20,0,0,0.0,0.0,0.102088,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,98.991277,0.0,20
163,163,20,0,0,0.0,0.0,0.101283,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,98.985766,0.0,20
164,164,20,0,0,0.0,0.0,0.100923,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,98.97816,0.0,20
165,165,20,0,0,0.0,0.0,0.100489,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,98.972644,0.0,20
166,166,20,0,0,0.0,0.0,0.100497,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,98.965035,0.0,20
167,167,20,0,0,0.0,0.0,0.100396,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,98.959515,0.0,20
168,168,20,0,0,0.0,0.0,0.100757,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,98.951903,0.0,20
169,169,20,0,0,0.0,0.0,0.10086,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,98.946378,0.0,20
170,170,20,0,0,0.0,0.0,0.100973,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,98.938764,0.0,20
171,171,20,0,0,0.0,0.0,0.100782,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,98.933233,0.0,20
172,172,20,0,0,0.0,0.0,0.100287,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,98.925616,0.0,20
173,173,20,0,0,0.0,0.0,0.099958,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,98.92008,0.0,20
174,174,20,0,0,0.0,0.0,0.09984,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,98.912459,0.0,20
175,175,20,0,0,0.0,0.0,0.099959,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,98.906919,0.0,20
176,176,20,0,0,0.0,0.0,0.100425,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,98.899295,0.0,20
177,177,20,0,0,0.0,0.0,0.101038,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,98.893749,0.0,20
178,178,20,0,0,0.0,0.0,0.101946,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,98.886123,0.0,20
179,179,20,0,0,0.0,0.0,0.102954,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,98.880572,0.0,20
180,180,20,0,0,0.0,0.0,0.104397,0.01166,0.012353,0.015631,0.01166,0.012353,0.015631,0.0,20,20,1,98.872943,0.0,20
